Jogador,Posição,Preço,Time
Pedrão,Zagueiro,0.025,Sport Recife
Júnior Tavares,Lateral Esq.,0.8,Sport Recife
Sander,Lateral Esq.,0.65,Sport Recife
Patric,Lateral Dir.,0.8,Sport Recife
Hayner,Lateral Dir.,0.2,Sport Recife
Ewerthon,Lateral Dir.,0.2,Sport Recife
Elias,Lateral Dir.,0.025,Sport Recife
Zé Welison,Volante,0.65,Sport Recife
Betinho,Volante,0.6,Sport Recife
Marcão Silva,Volante,0.4,Sport Recife
Ronaldo Henrique,Volante,0.375,Sport Recife
Márcio Araújo,Volante,0.3,Sport Recife
Italo,Volante,0.025,Sport Recife
Ricardinho,Meia Central,0.5,Sport Recife
Thiago Lopes,Meia Central,0.45,Sport Recife
Marcos Serrato,Meia Central,0.125,Sport Recife
Maxwell,Meia Esquerda,0.2,Sport Recife
Thiago Neves,Meia Ofensivo,1.0,Sport Recife
Everton Felipe,Meia Ofensivo,0.75,Sport Recife
Hernanes,Meia Ofensivo,0.65,Sport Recife
Gustavo,Meia Ofensivo,0.25,Sport Recife
Pablo Pardal,Meia Ofensivo,0.05,Sport Recife
Jonas Toró,Ponta Esquerda,1.7,Sport Recife
Marquinhos,Ponta Esquerda,0.85,Sport Recife
Everaldo,Ponta Esquerda,0.8,Sport Recife
Luciano Juba,Ponta Esquerda,0.65,Sport Recife
Paulinho Moccelin,Ponta Esquerda,0.3,Sport Recife
Maxwell,Ponta Esquerda,0.05,Sport Recife
Neílton,Ponta Direita,1.0,Sport Recife
Leandro Barcia,Ponta Direita,0.75,Sport Recife
Dalberto,Ponta Direita,0.5,Sport Recife
André,Centroavante,0.75,Sport Recife
Santiago Tréllez,Centroavante,0.7,Sport Recife
Hernane,Centroavante,0.5,Sport Recife
Mikael,Centroavante,0.5,Sport Recife
Vinicius Popó,Centroavante,0.05,Sport Recife
Lorhan,Meio-Campo,0.05,Chapecoense
Tiepo,Goleiro,0.8,Chapecoense
Vagner,Goleiro,0.325,Chapecoense
Keiller,Goleiro,0.05,Chapecoense
João Paulo,Goleiro,0.05,Chapecoense
Laércio,Zagueiro,0.4,Chapecoense
Joílson,Zagueiro,0.25,Chapecoense
Derlan,Zagueiro,0.2,Chapecoense
Kadu,Zagueiro,0.1,Chapecoense
Felipe Santana,Zagueiro,0.1,Chapecoense
Tiago Coser,Zagueiro,0.1,Chapecoense
Hiago,Zagueiro,0.05,Chapecoense
Jordan,Zagueiro,0.05,Chapecoense
Ignácio,Zagueiro,0.05,Chapecoense
Busanello,Lateral Esq.,0.7,Chapecoense
Mancha,Lateral Esq.,0.05,Chapecoense
Ezequiel,Lateral Dir.,0.45,Chapecoense
Matheus Ribeiro,Lateral Dir.,0.3,Chapecoense
Ronei,Lateral Dir.,0.15,Chapecoense
Alan Santos,Volante,0.4,Chapecoense
Moisés Ribeiro,Volante,0.3,Chapecoense
Anderson Leite,Volante,0.175,Chapecoense
Guedes,Volante,0.1,Chapecoense
Renê Júnior,Meia Central,0.4,Chapecoense
Léo Gomes,Meia Central,0.15,Chapecoense
Lima,Meia Central,0.1,Chapecoense
Ravanelli,Meia Ofensivo,1.5,Chapecoense
Felipe Silva,Meia Ofensivo,0.375,Chapecoense
Brayan,Meia Ofensivo,0.1,Chapecoense
Bruno Silva,Ponta Esquerda,1.1,Chapecoense
Thiago Ribeiro,Ponta Esquerda,0.3,Chapecoense
Kaio Nunes,Ponta Esquerda,0.3,Chapecoense
Fabinho,Ponta Direita,1.5,Chapecoense
Geuvânio,Ponta Direita,1.1,Chapecoense
Mike,Ponta Direita,0.6,Chapecoense
Vinicius Foguinho,Ponta Direita,0.25,Chapecoense
Fernandinho,Seg. Atacante,0.4,Chapecoense
Perotti,Centroavante,1.0,Chapecoense
Henrique Almeida,Centroavante,0.5,Chapecoense
Anselmo Ramon,Centroavante,0.4,Chapecoense
